Godot Engine v4.3.stable.official.77dcf97d8 - https://godotengine.org
Vulkan 1.2.283 - Forward+ - Using Device #0: Apple - Apple M1

(279.7892, 18.04629)
(278.8974, 20.20794)
(278.0745, 22.63629)
(277.3652, 25.34895)
(276.8261, 28.35572)
(276.5262, 31.65361)
(276.546, 35.22095)
(276.9746, 39.0102)
(277.9038, 42.94132)
(279.4174, 46.89639)
(281.5778, 50.71863)
(284.4095, 54.21798)
(287.8834, 57.18596)
(291.9067, 59.41851)
(296.3227, 60.74562)
(300.9242, 61.05871)
(305.4786, 60.33193)
(309.76, 58.62581)
(313.5788, 56.07601)
(316.8033, 52.87014)
(319.3666, 49.21717)
(321.2629, 45.32062)
(322.5337, 41.35846)
(323.2518, 37.47216)
(323.5058, 33.76402)
(323.3874, 30.30039)
(322.9828, 27.11755)
(322.368, 24.22892)
(321.6072, 21.63169)
(320.752, 19.31241)
(319.8429, 17.25148)
(318.9108, 15.42623)
(317.9785, 13.81303)
(317.0622, 12.38881)
(316.1734, 11.1318)
(315.3194, 10.02202)
(314.5047, 9.041485)
(313.7319, 8.174154)
(313.0104, 7.404048)
(312.3201, 6.722601)
(311.6715, 6.117033)
(311.0631, 5.577805)
(310.4932, 5.096665)
(309.9595, 4.666513)
(309.46, 4.281122)
(308.9926, 3.935009)
(308.5551, 3.6236)
(308.1454, 3.342907)
(307.7615, 3.089397)
(307.4038, 2.858627)
(307.064, 2.651972)
(306.747, 2.463057)
(306.4508, 2.290172)
(306.1697, 2.134353)
(305.9076, 1.990457)
(305.6589, 1.860245)
(305.4262, 1.739657)
(305.2055, 1.630112)
(304.9984, 1.528406)
(304.8018, 1.435671)
(304.617, 1.349366)
(304.4413, 1.270399)
(304.2758, 1.19674)
(304.1183, 1.129125)
(303.9696, 1.065919)
(303.828, 1.007717)
(303.694, 0.953203)
(303.5663, 0.902858)
(303.4452, 0.855613)
(303.3297, 0.811862)
(303.22, 0.770729)
(303.1153, 0.732541)
(303.0156, 0.696576)
(6.030135, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(3.01454, 0.696331)
(302.9195, 0.662673)
(302.8286, 0.631314)
(302.7419, 0.601705)
(302.6589, 0.574055)
(302.5797, 0.547913)
(302.5037, 0.523447)
(302.4311, 0.500283)
(302.3615, 0.478562)
(302.2948, 0.457967)
(302.2307, 0.438619)
(302.1694, 0.420251)
(302.1104, 0.402963)
(302.0538, 0.386531)
(301.9994, 0.370973)
(301.947, 0.356325)
(301.8967, 0.342346)
(301.8483, 0.329083)
(301.8016, 0.316567)
(301.7567, 0.304602)
(301.7135, 0.293229)
(3.426678, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.713207, 0.293207)
(1.701784, -299.6867)
(1.689682, -299.3538)
(1.676931, -299.0017)
(1.66356, -298.631)
(1.649604, -298.242)
(1.635092, -297.8355)
(1.620058, -297.4119)
(1.604536, -296.9717)
(1.588558, -296.5156)
(1.572157, -296.044)
(1.555367, -295.5576)
(1.538221, -295.0569)
(1.52075, -294.5426)
(1.502988, -294.0151)
(1.484965, -293.4752)
(1.466712, -292.9232)
(1.448259, -292.36)
(1.429635, -291.7859)
(-298.5602, -291.1817)
(-298.5511, -290.547)
(-298.543, -289.8811)
(-298.536, -289.1836)
(-298.5302, -288.4539)
(-298.5256, -287.6918)
(-298.5222, -286.8969)
(-298.5202, -286.069)
(-298.5195, -285.2078)
(-298.5202, -284.3133)
(-298.5223, -283.3854)
(-298.5259, -282.4243)
(-298.5309, -281.4299)
(-298.5374, -280.4026)
(-298.5453, -279.3425)
(-298.5548, -278.2502)
(-298.5657, -277.1261)
(-298.5781, -275.9706)
(-298.592, -274.7846)
(-298.6072, -273.5685)
(-298.6239, -272.3234)
(-298.6419, -271.0499)
(-298.6612, -269.7491)
(-298.6818, -268.4219)
(-298.7036, -267.0695)
(-298.7265, -265.6929)
(-298.7505, -264.2934)
(-298.7756, -262.8721)
(-298.8015, -261.4303)
(-298.8284, -259.9694)
(-298.856, -258.4905)
(-298.8844, -256.9952)
(-298.9134, -255.4847)
(-298.9429, -253.9605)
(-298.973, -252.4239)
(-299.0034, -250.8764)
(0.969451, -249.3513)
(0.943328, -247.8483)
(0.918197, -246.367)
(0.894011, -244.9068)
(0.870728, -243.4675)
(0.848306, -242.0484)
(0.826705, -240.6494)
(0.80589, -239.2699)
(0.785824, -237.9095)
(0.766474, -236.5679)
(0.747808, -235.2446)
(0.729798, -233.9393)
(0.712412, -232.6517)
(0.695626, -231.3813)
(0.679412, -230.1278)
(0.663747, -228.8908)
(0.648607, -227.6701)
(0.63397, -226.4652)
(0.619815, -225.2759)
(0.606122, -224.1018)
(0.592871, -222.9426)
(-299.4256, -221.781)
(-299.4441, -220.6177)
(-299.4625, -219.4531)
(-299.4809, -218.2881)
(-299.4993, -217.123)
(-299.5175, -215.9586)
(-299.5356, -214.7953)
(-299.5536, -213.6338)
(-299.5714, -212.4745)
(-299.589, -211.3179)
(-299.6064, -210.1647)
(-299.6237, -209.0151)
(-299.6407, -207.8697)
(-299.6575, -206.729)
(-299.674, -205.5933)
(-299.6902, -204.463)
(0.303436, -203.3476)
(0.29732, -202.2467)
(0.291396, -201.1599)
(0.285656, -200.0869)
(0.280093, -199.0275)
(0.274699, -197.9811)
(0.269468, -196.9477)
(0.264393, -195.9268)
(0.259468, -194.9183)
(0.254687, -193.9218)
(0.250044, -192.937)
(0.245535, -191.9637)
(0.241154, -191.0016)
(0.236895, -190.0506)
(0.232756, -189.1104)
(0.228731, -188.1806)
(0.224815, -187.2612)
(0.221006, -186.352)
(0.217299, -185.4526)
(0.213691, -184.5629)
(0.210177, -183.6827)
(0.206756, -182.8118)
(0.203423, -181.9501)
(0.200175, -181.0972)
(0.19701, -180.2532)
(0.193925, -179.4177)
(0.190917, -178.5907)
(0.187984, -177.772)
(0.185122, -176.9613)
(0.18233, -176.1586)
(0.179606, -175.3638)
(0.176947, -174.5766)
(0.174351, -173.7969)
(0.171816, -173.0246)
(0.169341, -172.2596)
(0.166923, -171.5016)
(0.16456, -170.7507)
(0.162252, -170.0067)
(0.159996, -169.2694)
(0.15779, -168.5387)
(0.155633, -167.8146)
(0.153525, -167.0968)
(0.151462, -166.3854)
(0.149445, -165.6802)
(0.147471, -164.981)
(0.145539, -164.2878)
(0.143649, -163.6005)
(0.141798, -162.919)
(0.139986, -162.2432)
(0.138212, -161.573)
(0.136475, -160.9083)
(0.134774, -160.249)
(0.133107, -159.595)
(0.131474, -158.9464)
(0.129873, -158.3028)
(0.128305, -157.6644)
(0.126767, -157.0309)
(0.12526, -156.4024)
(0.123783, -155.7788)
(0.122334, -155.1599)
(0.120913, -154.5457)
(0.119519, -153.9362)
(0.118151, -153.3312)
(0.11681, -152.7308)
(0.115494, -152.1347)
(0.114202, -151.5431)
(0.112934, -150.9557)
(0.11169, -150.3726)
(0.110468, -149.7937)
(0.109268, -149.2189)
(0.108091, -148.6482)
(0.106934, -148.0815)
(0.105798, -147.5187)
(0.104682, -146.9598)
(0.103585, -146.4048)
(0.102508, -145.8535)
(0.10145, -145.306)
(0.100409, -144.7621)
(0.099387, -144.222)
(0.098382, -143.6853)
(0.097395, -143.1523)
